4900, +2.0947e-01, +5.9088e+01, +4.9952e+01, +6.1584e+04, -1.150321e-02, 3.119284e-03, 2.731944e-02, 1.250230e-06,
5000, +1.9148e-01, +5.7488e+01, +5.4458e+01, +5.6293e+04, -1.012970e-02, 3.104073e-03, 3.801569e-02, 1.305785e-06,
5100, +1.7475e-01, +5.4562e+01, +5.5981e+01, +5.3777e+04, -8.436279e-03, 3.088949e-03, 4.091442e-02, 1.322540e-06,
5200, +1.7211e-01, +5.5929e+01, +5.3133e+01, +5.3178e+04, -6.691794e-03, 3.073861e-03, 3.426364e-02, 1.292925e-06,
5300, +1.8662e-01, +5.5036e+01, +4.8814e+01, +5.7837e+04, -5.033193e-03, 3.058831e-03, 1.933804e-02, 1.196761e-06,
5400, +2.0022e-01, +5.1949e+01, +5.6608e+01, +6.2086e+04, -3.564178e-03, 3.043942e-03, -7.547156e-06, 1.026322e-06,
5500, +1.9865e-01, +5.1004e+01, +6.0025e+01, +6.1627e+04, -2.565027e-03, 3.029282e-03, -1.757319e-02, 8.052053e-07,
5600, +1.8377e-01, +4.7399e+01, +5.9040e+01, +5.7027e+04, -1.986662e-03, 3.014894e-03, -2.998300e-02, 5.722946e-07,
5700, +1.6264e-01, +4.8218e+01, +5.4059e+01, +4.9254e+04, -1.657314e-03, 3.000741e-03, -3.492094e-02, 3.746914e-07,
5800, +1.6424e-01, +5.1559e+01, +4.7832e+01, +5.0467e+04, -1.503444e-03, 2.986749e-03, -3.225249e-02, 2.534285e-07,
5900, +1.6671e-01, +5.3664e+01, +4.6555e+01, +5.1248e+04, -1.434046e-03, 2.972829e-03, -2.335961e-02, 2.253596e-07,
6000, +1.6353e-01, +5.4475e+01, +4.8678e+01, +5.0585e+04, -1.287293e-03, 2.958910e-03, -1.163781e-02, 2.794536e-07,
6100, +1.7034e-01, +5.3999e+01, +5.3771e+01, +5.2536e+04, -1.242474e-03, 2.944935e-03, 5.438893e-04, 3.984187e-07,
6200, +1.6561e-01, +5.2290e+01, +5.4733e+01, +5.0947e+04, -1.096602e-03, 2.930888e-03, 1.020388e-02, 5.450075e-07,
